b2024-03-21 13:37:41,Microsoft Corporation (MSFT),425.23 USD,Volume: 7430436229.0,Market cap: 3131260131262.89
2024-03-21 13:37:41,Apple Inc (AAPL),178.67 USD,Volume: 15441881000.0,Market cap: 2719006406480.0
2024-03-21 13:37:41,Netflix Inc (NFLX),627.69 USD,Volume: 432759584.0,Market cap: 268631184172.16
2024-03-21 13:37:41,Ralph Lauren Corp Class A (RL),190.32 USD,Volume: 63925556.0,Market cap: 11782119226.36
2024-03-21 13:37:41,Alphabet Inc Class A (GOOGL),148.74 USD,Volume: 12433000000.0,Market cap: 1828023990000.0
2024-03-21 13:37:41,NVIDIA Corporation (NVDA),903.72 USD,Volume: 2461200000.0,Market cap: 2200263576000.0
2024-03-21 13:37:57,Microsoft Corporation (MSFT),425.23 USD,Volume: 7430436229.0,Market cap: 3131260131262.89
2024-03-21 13:37:57,Apple Inc (AAPL),178.67 USD,Volume: 15441881000.0,Market cap: 2719006406480.0
