Time,company,Open,High,Low,Last,Close,Volume
2024-04-25 09:21:36,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,859.0,878.7,4461532793.0
2024-04-25 09:21:36,Oersted AS (ORSTED),382.2,382.5,379.7,380.0,382.2,420230296.0
2024-04-25 09:21:36,ISS A/S (ISS),130.9,131.1,130.5,130.7,131.0,184453514.0
2024-04-25 09:21:36,Vestas Wind Systems A/S (VWS),181.3,182.7,181.0,181.4,181.1,1006473655.0
2024-04-25 09:36:42,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,858.9,878.7,4461532793.0
2024-04-25 09:36:42,Oersted AS (ORSTED),382.2,382.5,380.5,381.6,382.2,420230296.0
2024-04-25 09:36:42,ISS A/S (ISS),130.9,131.1,130.5,131.0,131.0,184453514.0
2024-04-25 09:36:42,Vestas Wind Systems A/S (VWS),186.0,186.1,181.1,181.1,185.6,1006473655.0
2024-04-25 09:51:46,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,863.0,878.7,4461532793.0
2024-04-25 09:51:46,Oersted AS (ORSTED),382.2,382.5,379.0,380.6,382.2,420230296.0
2024-04-25 09:51:46,ISS A/S (ISS),130.9,131.2,130.5,131.2,131.0,184453514.0
2024-04-25 09:51:46,Vestas Wind Systems A/S (VWS),181.3,182.7,180.8,180.8,181.1,1006473655.0
2024-04-25 10:06:50,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,865.8,878.7,4461532793.0
2024-04-25 10:06:50,Oersted AS (ORSTED),382.2,382.5,379.0,380.5,382.2,420230296.0
2024-04-25 10:06:50,ISS A/S (ISS),130.9,131.1,130.5,131.0,131.0,184453514.0
2024-04-25 10:06:50,Vestas Wind Systems A/S (VWS),181.3,182.7,180.3,180.8,181.1,1006473655.0
2024-04-25 10:21:53,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,868.0,878.7,4461532793.0
2024-04-25 10:21:53,Oersted AS (ORSTED),382.2,383.0,379.0,382.8,382.2,420230296.0
2024-04-25 10:21:53,ISS A/S (ISS),130.9,131.2,130.5,131.2,131.0,184453514.0
2024-04-25 10:21:53,Vestas Wind Systems A/S (VWS),181.3,183.1,180.3,182.8,181.1,1006473655.0
2024-04-25 10:36:56,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,867.4,878.7,4461532793.0
2024-04-25 10:36:56,Oersted AS (ORSTED),382.2,382.5,379.0,380.6,382.2,420230296.0
2024-04-25 10:36:56,ISS A/S (ISS),130.9,131.3,130.5,131.3,131.0,184453514.0
2024-04-25 10:36:56,Vestas Wind Systems A/S (VWS),181.3,182.7,180.3,181.8,181.1,1006473655.0
2024-04-25 10:51:59,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,867.3,878.7,4461532793.0
2024-04-25 10:51:59,Oersted AS (ORSTED),382.2,387.5,379.0,386.3,382.2,420230296.0
2024-04-25 10:51:59,ISS A/S (ISS),130.9,131.4,130.5,131.0,131.0,184453514.0
2024-04-25 10:51:59,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,183.6,181.1,1006473655.0
2024-04-25 11:07:02,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,866.2,878.7,4461532793.0
2024-04-25 11:07:02,Oersted AS (ORSTED),382.2,389.0,379.0,388.2,382.2,420230296.0
2024-04-25 11:07:02,ISS A/S (ISS),130.9,131.4,130.5,131.0,131.0,184453514.0
2024-04-25 11:07:02,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,183.1,181.1,1006473655.0
2024-04-25 11:22:05,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,862.8,878.7,4461532793.0
2024-04-25 11:22:05,Oersted AS (ORSTED),382.2,389.0,379.0,388.6,382.2,420230296.0
2024-04-25 11:22:05,ISS A/S (ISS),130.9,131.4,130.5,131.0,131.0,184453514.0
2024-04-25 11:22:05,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,182.9,181.1,1006473655.0
2024-04-25 11:37:09,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,860.8,878.7,4461532793.0
2024-04-25 11:37:09,Oersted AS (ORSTED),382.2,390.2,379.0,389.8,382.2,420230296.0
2024-04-25 11:37:09,ISS A/S (ISS),130.9,131.4,130.5,131.2,131.0,184453514.0
2024-04-25 11:37:09,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,182.9,181.1,1006473655.0
2024-04-25 11:52:12,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,860.3,878.7,4461532793.0
2024-04-25 11:52:12,Oersted AS (ORSTED),382.2,390.2,379.0,389.2,382.2,420230296.0
2024-04-25 11:52:12,ISS A/S (ISS),130.9,131.4,130.5,131.0,131.0,184453514.0
2024-04-25 11:52:12,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,182.8,181.1,1006473655.0
2024-04-25 12:07:15,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,857.6,860.0,878.7,4461532793.0
2024-04-25 12:07:15,Oersted AS (ORSTED),382.2,390.7,379.0,390.7,382.2,420230296.0
2024-04-25 12:07:15,ISS A/S (ISS),130.9,131.4,130.5,130.6,131.0,184453514.0
2024-04-25 12:07:15,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,183.2,181.1,1006473655.0
2024-04-25 12:37:27,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,855.2,856.1,878.7,4461532793.0
2024-04-25 12:37:27,Oersted AS (ORSTED),382.2,390.2,379.0,389.4,382.2,420230296.0
2024-04-25 12:37:27,ISS A/S (ISS),130.9,131.4,130.1,130.2,131.0,184453514.0
2024-04-25 12:37:27,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,182.3,181.1,1006473655.0
2024-04-25 12:52:50,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,855.2,855.9,878.7,4461532793.0
2024-04-25 12:52:50,Oersted AS (ORSTED),382.2,390.5,379.0,390.5,382.2,420230296.0
2024-04-25 12:52:50,ISS A/S (ISS),130.9,131.4,130.2,130.2,131.0,184453514.0
2024-04-25 12:52:50,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,183.2,181.1,1006473655.0
2024-04-25 13:07:54,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,855.2,855.9,878.7,4461532793.0
2024-04-25 13:07:54,Oersted AS (ORSTED),382.2,394.9,379.0,392.4,382.2,420230296.0
2024-04-25 13:07:54,ISS A/S (ISS),130.9,131.4,130.1,130.2,131.0,184453514.0
2024-04-25 13:07:54,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,181.9,181.1,1006473655.0
2024-04-25 13:22:57,Novo Nordisk A/S Class B (NOVOb),876.1,876.1,854.6,854.9,878.7,4461532793.0
2024-04-25 13:22:57,Oersted AS (ORSTED),382.2,394.9,379.0,392.5,382.2,420230296.0
2024-04-25 13:22:57,ISS A/S (ISS),130.9,131.4,130.0,130.0,131.0,184453514.0
2024-04-25 13:22:57,Vestas Wind Systems A/S (VWS),181.3,183.6,180.3,181.9,181.1,1006473655.0
