Time,Company,Price,Volume,Market Cap
2024-04-19 09:53:42,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:53:56,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:53:56,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:53:56,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:53:56,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:53:56,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:53:56,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:54:10,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:54:10,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:54:10,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:54:10,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:54:10,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:54:10,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:54:24,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:54:24,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:54:24,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:54:24,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:54:24,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:54:24,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:54:38,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:54:38,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:54:38,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:54:38,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:54:38,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:54:38,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:54:52,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:54:52,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:54:52,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:54:52,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:54:52,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:54:52,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:55:05,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:55:05,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:55:05,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:55:05,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:55:05,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:55:05,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:55:19,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:55:19,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:55:19,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:55:19,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:55:19,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:55:19,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:55:33,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:55:33,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:55:33,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:55:33,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:55:33,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:55:33,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:55:47,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:55:47,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:55:47,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:55:47,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:55:47,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:55:47,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:56:01,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:56:01,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:56:01,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:56:01,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:56:01,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:56:01,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:56:15,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:56:15,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:56:15,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:56:15,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:56:15,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:56:15,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:56:29,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:56:29,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:56:29,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:56:29,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:56:29,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:56:29,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:56:43,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:56:43,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:56:43,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:56:43,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:56:43,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:56:43,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:56:57,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:56:57,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:56:57,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:56:57,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:56:57,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:56:57,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:57:11,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:57:11,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:57:11,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:57:11,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:57:11,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:57:11,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:57:25,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:57:25,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 09:57:25,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 09:57:25,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 09:57:25,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 09:57:25,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 09:57:38,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 09:57:38,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
