Date,company,Open,High,Low,Last,Close,Volume
24107,Alphabet Inc Class A (GOOGL),528.690002,528.690002,528.690002,528.690002,528.690002,12433000000
24110,Alphabet Inc Class A (GOOGL),527.210022,527.210022,527.210022,527.210022,527.210022,12433000000
24111,Alphabet Inc Class A (GOOGL),527.840027,527.840027,527.840027,527.840027,527.840027,12433000000
24112,Alphabet Inc Class A (GOOGL),531.119995,531.119995,531.119995,531.119995,531.119995,12433000000
24113,Alphabet Inc Class A (GOOGL),532.070007,532.070007,532.070007,532.070007,532.070007,12433000000
24114,Alphabet Inc Class A (GOOGL),532.599976,532.599976,532.599976,532.599976,532.599976,12433000000
24117,Alphabet Inc Class A (GOOGL),533.869995,533.869995,533.869995,533.869995,533.869995,12433000000
24118,Alphabet Inc Class A (GOOGL),534.289978,534.289978,534.289978,534.289978,534.289978,12433000000
24119,Alphabet Inc Class A (GOOGL),533.340027,533.340027,533.340027,533.340027,533.340027,12433000000
24120,Alphabet Inc Class A (GOOGL),534.400024,534.400024,534.400024,534.400024,534.400024,12433000000
24121,Alphabet Inc Class A (GOOGL),535.450012,535.450012,535.450012,535.450012,535.450012,12433000000
24124,Alphabet Inc Class A (GOOGL),537.460022,537.460022,537.460022,537.460022,537.460022,12433000000
24125,Alphabet Inc Class A (GOOGL),538.940002,538.940002,538.940002,538.940002,538.940002,12433000000
24126,Alphabet Inc Class A (GOOGL),537.669983,537.669983,537.669983,537.669983,537.669983,12433000000
24127,Alphabet Inc Class A (GOOGL),535.669983,535.669983,535.669983,535.669983,535.669983,12433000000
24128,Alphabet Inc Class A (GOOGL),535.97998,535.97998,535.97998,535.97998,535.97998,12433000000
24131,Alphabet Inc Class A (GOOGL),537.669983,537.669983,537.669983,537.669983,537.669983,12433000000
24132,Alphabet Inc Class A (GOOGL),538.099976,538.099976,538.099976,538.099976,538.099976,12433000000
24133,Alphabet Inc Class A (GOOGL),537.570007,537.570007,537.570007,537.570007,537.570007,12433000000
24134,Alphabet Inc Class A (GOOGL),537.359985,537.359985,537.359985,537.359985,537.359985,12433000000
24135,Alphabet Inc Class A (GOOGL),535.669983,535.669983,535.669983,535.669983,535.669983,12433000000
24138,Alphabet Inc Class A (GOOGL),533.340027,533.340027,533.340027,533.340027,533.340027,12433000000
24139,Alphabet Inc Class A (GOOGL),529.109985,529.109985,529.109985,529.109985,529.109985,12433000000
24140,Alphabet Inc Class A (GOOGL),531.440002,531.440002,531.440002,531.440002,531.440002,12433000000
24141,Alphabet Inc Class A (GOOGL),532.070007,532.070007,532.070007,532.070007,532.070007,12433000000
24142,Alphabet Inc Class A (GOOGL),535.450012,535.450012,535.450012,535.450012,535.450012,12433000000
24145,Alphabet Inc Class A (GOOGL),537.25,537.25,537.25,537.25,537.25,12433000000
24146,Alphabet Inc Class A (GOOGL),536.830017,536.830017,536.830017,536.830017,536.830017,12433000000
24147,Alphabet Inc Class A (GOOGL),539.890015,539.890015,539.890015,539.890015,539.890015,12433000000
24148,Alphabet Inc Class A (GOOGL),538.409973,538.409973,538.409973,538.409973,538.409973,12433000000
24149,Alphabet Inc Class A (GOOGL),538.309998,538.309998,538.309998,538.309998,538.309998,12433000000
24152,Alphabet Inc Class A (GOOGL),537.780029,537.780029,537.780029,537.780029,537.780029,12433000000
24153,Alphabet Inc Class A (GOOGL),535.450012,535.450012,535.450012,535.450012,535.450012,12433000000
24154,Alphabet Inc Class A (GOOGL),535.349976,535.349976,535.349976,535.349976,535.349976,12433000000
24155,Alphabet Inc Class A (GOOGL),532.48999,532.48999,532.48999,532.48999,532.48999,12433000000
24156,Alphabet Inc Class A (GOOGL),531.440002,531.440002,531.440002,531.440002,531.440002,12433000000
24159,Alphabet Inc Class A (GOOGL),528.26001,528.26001,528.26001,528.26001,528.26001,12433000000
24161,Alphabet Inc Class A (GOOGL),525.940002,525.940002,525.940002,525.940002,525.940002,12433000000
24162,Alphabet Inc Class A (GOOGL),522.450012,522.450012,522.450012,522.450012,522.450012,12433000000
24163,Alphabet Inc Class A (GOOGL),523.929993,523.929993,523.929993,523.929993,523.929993,12433000000
24166,Alphabet Inc Class A (GOOGL),524.559998,524.559998,524.559998,524.559998,524.559998,12433000000
24167,Alphabet Inc Class A (GOOGL),517.900024,517.900024,517.900024,517.900024,517.900024,12433000000
24168,Alphabet Inc Class A (GOOGL),512.830017,512.830017,512.830017,512.830017,512.830017,12433000000
24169,Alphabet Inc Class A (GOOGL),514.940002,514.940002,514.940002,514.940002,514.940002,12433000000
24170,Alphabet Inc Class A (GOOGL),513.349976,513.349976,513.349976,513.349976,513.349976,12433000000
24173,Alphabet Inc Class A (GOOGL),506.380005,506.380005,506.380005,506.380005,506.380005,12433000000
24174,Alphabet Inc Class A (GOOGL),506.899994,506.899994,506.899994,506.899994,506.899994,12433000000
24175,Alphabet Inc Class A (GOOGL),511.130005,511.130005,511.130005,511.130005,511.130005,12433000000
24176,Alphabet Inc Class A (GOOGL),511.23999,511.23999,511.23999,511.23999,511.23999,12433000000
24177,Alphabet Inc Class A (GOOGL),510.820007,510.820007,510.820007,510.820007,510.820007,12433000000
24180,Alphabet Inc Class A (GOOGL),504.899994,504.899994,504.899994,504.899994,504.899994,12433000000
24181,Alphabet Inc Class A (GOOGL),501.51001,501.51001,501.51001,501.51001,501.51001,12433000000
24182,Alphabet Inc Class A (GOOGL),504.26001,504.26001,504.26001,504.26001,504.26001,12433000000
24183,Alphabet Inc Class A (GOOGL),505.850006,505.850006,505.850006,505.850006,505.850006,12433000000
24184,Alphabet Inc Class A (GOOGL),508.279999,508.279999,508.279999,508.279999,508.279999,12433000000
24187,Alphabet Inc Class A (GOOGL),512.190002,512.190002,512.190002,512.190002,512.190002,12433000000
24188,Alphabet Inc Class A (GOOGL),513.669983,513.669983,513.669983,513.669983,513.669983,12433000000
24189,Alphabet Inc Class A (GOOGL),511.980011,511.980011,511.980011,511.980011,511.980011,12433000000
24190,Alphabet Inc Class A (GOOGL),512.719971,512.719971,512.719971,512.719971,512.719971,12433000000
24191,Alphabet Inc Class A (GOOGL),513.98999,513.98999,513.98999,513.98999,513.98999,12433000000
24194,Alphabet Inc Class A (GOOGL),514.940002,514.940002,514.940002,514.940002,514.940002,12433000000
24195,Alphabet Inc Class A (GOOGL),512.830017,512.830017,512.830017,512.830017,512.830017,12433000000
24196,Alphabet Inc Class A (GOOGL),508.600006,508.600006,508.600006,508.600006,508.600006,12433000000
24197,Alphabet Inc Class A (GOOGL),511.450012,511.450012,511.450012,511.450012,511.450012,12433000000
24198,Alphabet Inc Class A (GOOGL),515.580017,515.580017,515.580017,515.580017,515.580017,12433000000
24201,Alphabet Inc Class A (GOOGL),520.22998,520.22998,520.22998,520.22998,520.22998,12433000000
24202,Alphabet Inc Class A (GOOGL),523.51001,523.51001,523.51001,523.51001,523.51001,12433000000
24203,Alphabet Inc Class A (GOOGL),524.880005,524.880005,524.880005,524.880005,524.880005,12433000000
24204,Alphabet Inc Class A (GOOGL),525.940002,525.940002,525.940002,525.940002,525.940002,12433000000
24208,Alphabet Inc Class A (GOOGL),525.72998,525.72998,525.72998,525.72998,525.72998,12433000000
24209,Alphabet Inc Class A (GOOGL),524.140015,524.140015,524.140015,524.140015,524.140015,12433000000
24210,Alphabet Inc Class A (GOOGL),524.349976,524.349976,524.349976,524.349976,524.349976,12433000000
24211,Alphabet Inc Class A (GOOGL),525.409973,525.409973,525.409973,525.409973,525.409973,12433000000
24212,Alphabet Inc Class A (GOOGL),526.359985,526.359985,526.359985,526.359985,526.359985,12433000000
24215,Alphabet Inc Class A (GOOGL),524.25,524.25,524.25,524.25,524.25,12433000000
24216,Alphabet Inc Class A (GOOGL),524.559998,524.559998,524.559998,524.559998,524.559998,12433000000
24217,Alphabet Inc Class A (GOOGL),527.419983,527.419983,527.419983,527.419983,527.419983,12433000000
24218,Alphabet Inc Class A (GOOGL),529.109985,529.109985,529.109985,529.109985,529.109985,12433000000
24219,Alphabet Inc Class A (GOOGL),528.049988,528.049988,528.049988,528.049988,528.049988,12433000000
24222,Alphabet Inc Class A (GOOGL),527.52002,527.52002,527.52002,527.52002,527.52002,12433000000
24223,Alphabet Inc Class A (GOOGL),526.150024,526.150024,526.150024,526.150024,526.150024,12433000000
24224,Alphabet Inc Class A (GOOGL),524.349976,524.349976,524.349976,524.349976,524.349976,12433000000
24225,Alphabet Inc Class A (GOOGL),521.179993,521.179993,521.179993,521.179993,521.179993,12433000000
24226,Alphabet Inc Class A (GOOGL),521.179993,521.179993,521.179993,521.179993,521.179993,12433000000
24229,Alphabet Inc Class A (GOOGL),520.539978,520.539978,520.539978,520.539978,520.539978,12433000000
24230,Alphabet Inc Class A (GOOGL),514.72998,514.72998,514.72998,514.72998,514.72998,12433000000
